sugar,20 grams,91
calories,540 calories,92
carbohydrate,2 grams,92
cholesterol,140 milligrams,92
fat,49 grams,92
protein,24 grams,92
saturatedFat,31 grams,92
sodium,740 milligrams,92
sugar,1 grams,92
,,93
calories,600 calories,94
carbohydrate,22 grams,94
cholesterol,230 milligrams,94
fat,24 grams,94
protein,69 grams,94
saturatedFat,7 grams,94
sodium,630 milligrams,94
sugar,21 grams,94
calories,90 calories,95
carbohydrate,21 grams,95
fiber,3 grams,95
protein,2 grams,95
sodium,200 milligrams,95
sugar,5 grams,95
calories,330 calories,96
carbohydrate,58 grams,96
cholesterol,25 milligrams,96
fat,10 grams,96
fiber,2 grams,96
protein,3 grams,96
saturatedFat,6 grams,96
sodium,210 milligrams,96
sugar,46 grams,96
calories,420 calories,97
carbohydrate,64 grams,97
cholesterol,65 milligrams,97
fat,3 grams,97
fiber,5 grams,97
protein,34 grams,97
sodium,390 milligrams,97
sugar,56 grams,97
calories,230 calories,98
carbohydrate,20 grams,98
cholesterol,25 milligrams,98
fat,15 grams,98
fiber,4 grams,98
protein,6 grams,98
saturatedFat,3 grams,98
sodium,390 milligrams,98
sugar,2 grams,98
calories,530 calories,99
carbohydrate,36 grams,99
cholesterol,40 milligrams,99
fat,41 grams,99
protein,6 grams,99
saturatedFat,7 grams,99
sodium,1530 milligrams,99
sugar,13 grams,99
calories,1090 calories,100
carbohydrate,130 grams,100
cholesterol,200 milligrams,100
fat,63 grams,100
fiber,5 grams,100
protein,12 grams,100
saturatedFat,17 grams,100
sodium,640 milligrams,100
sugar,60 grams,100
,,101
calories,70 calories,102
carbohydrate,5 grams,102
cholesterol,10 milligrams,102
fat,4.5 grams,102
fiber,1 grams,102
protein,1 grams,102
saturatedFat,2 grams,102
sodium,500 milligrams,102
sugar,2 grams,102
calories,310 calories,103
carbohydrate,53 grams,103
cholesterol,10 milligrams,103
fat,7 grams,103
fiber,7 grams,103
protein,10 grams,103
saturatedFat,1.5 grams,103
sodium,840 milligrams,103
sugar,6 grams,103
calories,230 calories,104
carbohydrate,47 grams,104
fat,3 grams,104
fiber,3 grams,104
protein,5 grams,104
sodium,150 milligrams,104
sugar,3 grams,104
calories,540 calories,105
carbohydrate,135 grams,105
fat,1.5 grams,105
fiber,3 grams,105
protein,8 grams,105
sodium,3820 milligrams,105
sugar,118 grams,105
,,106
calories,220 calories,107
carbohydrate,58 grams,107
fiber,3 grams,107
protein,2 grams,107
sodium,10 milligrams,107
sugar,48 grams,107
calories,570 calories,108
carbohydrate,44 grams,108
cholesterol,95 milligrams,108
fat,33 grams,108
fiber,2 grams,108
protein,24 grams,108
saturatedFat,20 grams,108
sodium,640 milligrams,108
sugar,6 grams,108
,,109
calories,80 calories,110
carbohydrate,8 grams,110
cholesterol,10 milligrams,110
fat,4.5 grams,110
protein,1 grams,110
saturatedFat,2.5 grams,110
sodium,170 milligrams,110
sugar,2 grams,110
calories,200 calories,111
carbohydrate,8 grams,111
cholesterol,105 milligrams,111
fat,14 grams,111
fiber,1 grams,111
protein,11 grams,111
saturatedFat,8 grams,111
sodium,250 milligrams,111
sugar,1 grams,111
calories,270 calories,112
carbohydrate,4 grams,112
cholesterol,145 milligrams,112
fat,7 grams,112
protein,46 grams,112
saturatedFat,2.5 grams,112
sodium,610 milligrams,112
,,113
calories,320 calories,114
carbohydrate,57 grams,114
cholesterol,20 milligrams,114
fat,7 grams,114
fiber,14 grams,114
protein,12 grams,114
saturatedFat,3 grams,114
sodium,1170 milligrams,114
sugar,8 grams,114
calories,530 calories,115
carbohydrate,45 grams,115
cholesterol,255 milligrams,115
fat,16 grams,115
fiber,6 grams,115
protein,54 grams,115
saturatedFat,9 grams,115
sodium,1200 milligrams,115
sugar,15 grams,115
calories,550 calories,116
carbohydrate,27 grams,116
cholesterol,120 milligrams,116
fat,28 grams,116
fiber,1 grams,116
protein,44 grams,116
saturatedFat,11 grams,116
sodium,1430 milligrams,116
sugar,5 grams,116
transFat,1.5 grams,116
,,117
calories,1010 calories,118
carbohydrate,5 grams,118
cholesterol,240 milligrams,118
fat,85 grams,118
protein,55 grams,118
saturatedFat,18 grams,118
sodium,1450 milligrams,118
sugar,2 grams,118
transFat,0.5 grams,118
calories,450 calories,119
carbohydrate,22 grams,119
cholesterol,245 milligrams,119
fat,27 grams,119
protein,29 grams,119
saturatedFat,16 grams,119
sodium,2040 milligrams,119
sugar,14 grams,119
calories,200 calories,120
carbohydrate,30 grams,120
cholesterol,55 milligrams,120
fat,9 grams,120
protein,2 grams,120
saturatedFat,5 grams,120
sodium,35 milligrams,120
sugar,21 grams,120
calories,230 calories,121
carbohydrate,8 grams,121
cholesterol,60 milligrams,121
fat,23 grams,121
saturatedFat,14 grams,121
sugar,7 grams,121
calories,200 calories,122
carbohydrate,15 grams,122
cholesterol,160 milligrams,122
fat,8 grams,122
protein,15 grams,122
saturatedFat,4 grams,122
sodium,920 milligrams,122
sugar,7 grams,122
calories,230 calories,123
carbohydrate,29 grams,123
cholesterol,65 milligrams,123
fat,11 grams,123
fiber,3 grams,123
protein,6 grams,123
saturatedFat,6 grams,123
sodium,260 milligrams,123
